OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
3807,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bentleigh East,Shell,East Boundary Road,Bentleigh East,Victoria,-37.916083,145.059687
3808,An establishment where a range of fuel products can be purchased by motorists,Coles Express Brandon Park,Shell,Springvale Road ,Brandon Park,Victoria,-37.903259,145.162394
3809,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ormond,Shell,423 North Road,Ormond,Victoria,-37.903164,145.036426
3810,An establishment where a range of fuel products can be purchased by motorists,Coles Express Knoxfield,Shell,1370 Ferntree Gully Road,Knoxfield,Victoria,-37.899595,145.233912
3811,An establishment where a range of fuel products can be purchased by motorists,Coles Express Gardenvale,Shell,191 Nepean Highway,Gardenvale,Victoria,-37.896323,145.005546
3812,An establishment where a range of fuel products can be purchased by motorists,Coles Express Oakleigh,Shell,1386-1388 Dandenong Road,Oakleigh,Victoria,-37.89377,145.088426
3813,An establishment where a range of fuel products can be purchased by motorists,Coles Express Werribee Park,Shell,137-139 Princes Highway,Werribee,Victoria,-37.893123,144.680917
3814,An establishment where a range of fuel products can be purchased by motorists,Coles Express Knox Park,Shell,1662 Ferntree Gully Road,Knoxfield,Victoria,-37.892555,145.25739
3815,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ferntree Gully,Shell,1140 Burwood Highway,Ferntree Gully,Victoria,-37.890959,145.300246
3816,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wantirna South,Shell,435 Stud Road,Wantirna South,Victoria,-37.877519,145.233606
3817,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mount Waverley,Shell,258-260 Stephensons Road,Mount Waverley,Victoria,-37.876628,145.129287
3818,An establishment where a range of fuel products can be purchased by motorists,Coles Express Malvern,Shell,763-779 Dandenong Road,Malvern East,Victoria,-37.873109,145.038017
3819,An establishment where a range of fuel products can be purchased by motorists,Coles Express Laverton,Shell,26 Ailsa Street South,Altona Meadows,Victoria,-37.869279,144.762155
3820,An establishment where a range of fuel products can be purchased by motorists,Coles Express St Kilda,Shell,120-134 Barkly Street,St Kilda,Victoria,-37.865658,144.981795
3821,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ashburton,Shell,191 High Street,Ashburton,Victoria,-37.862828,145.076238
3822,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hoppers Crossing,Shell,260 Derrimut Road,Hoppers Crossing,Victoria,-37.862507,144.686105
3823,An establishment where a range of fuel products can be purchased by motorists,Coles Express Vermont South,Shell,602 Burwood Highway,Vermont South,Victoria,-37.858858,145.195007
3824,An establishment where a range of fuel products can be purchased by motorists,Coles Express Windsor,Shell,147-161 Dandenong Road,Windsor,Victoria,-37.857453,144.993018
3825,An establishment where a range of fuel products can be purchased by motorists,Coles Express Vermont South,Shell,485-493 Burwood Highway,Vermont South,Victoria,-37.855893,145.181423
3826,An establishment where a range of fuel products can be purchased by motorists,Coles Express Glenvern,Shell,357 Glenferrie Road,Malvern,Victoria,-37.851842,145.029713
3827,An establishment where a range of fuel products can be purchased by motorists,Pars Garage,Shell,1204 Mountain Highway,The Basin,Victoria,-37.850376,145.306817
3828,An establishment where a range of fuel products can be purchased by motorists,Coles Express Burwood,Shell,Burwood Highway and Central Avenue,Burwood,Victoria,-37.850279,145.098013
3829,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tarneit,Shell,380-382 Sayers Road,Tarneit,Victoria,-37.849951,144.705673
3830,An establishment where a range of fuel products can be purchased by motorists,Coles Express Forest Hill,Shell,393 Springvale Road,Forest Hill,Victoria,-37.840837,145.171999
3831,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mountain Highway,Shell,758-760 Mountain Highway,Bayswater,Victoria,-37.840422,145.267901
3832,An establishment where a range of fuel products can be purchased by motorists,Coles Express South Yarra,Shell,325 Toorak Road,South Yarra,Victoria,-37.839515,144.997886
3833,An establishment where a range of fuel products can be purchased by motorists,Coles Express Vermont,Shell,385-389 Canterbury Road,Ringwood,Victoria,-37.832048,145.214764
3834,An establishment where a range of fuel products can be purchased by motorists,Coles Express Altona North,Shell,71-75 Dohertys Road,Altona North,Victoria,-37.831666,144.824757
3835,An establishment where a range of fuel products can be purchased by motorists,Coles Express Westgate South,Shell,2 West Gate Freeway,Port Melbourne,Victoria,-37.831133,144.918573
3836,An establishment where a range of fuel products can be purchased by motorists,Coles Express Auburndale,Shell,187 Riversdale Road,Hawthorn,Victoria,-37.829389,145.042233
3837,An establishment where a range of fuel products can be purchased by motorists,Coles Express Westgate North,Shell,1 West Gate Freeway,Port Melbourne,Victoria,-37.829074,144.919131
3838,An establishment where a range of fuel products can be purchased by motorists,Coles Express Spotswood,Shell,642 Melbourne Road,Spotswood,Victoria,-37.827633,144.881443
3839,An establishment where a range of fuel products can be purchased by motorists,Kmart Tyre & Auto Altona,Caltex,122-134 Millers Road,Altona North,Victoria,-37.82723,144.848572
3840,An establishment where a range of fuel products can be purchased by motorists,Coles Express Richmond,Shell,399-411 Punt Road,Cremorne,Victoria,-37.826521,144.988849
3841,An establishment where a range of fuel products can be purchased by motorists,Princi Motors,Shell,273 Monbulk Road,Silvan,Victoria,-37.825493,145.421873
3842,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bayswater,Shell,148-150 Canterbury Road,Bayswater North,Victoria,-37.825243,145.28827
3843,An establishment where a range of fuel products can be purchased by motorists,Coles Express Surrey Hills,Shell,260 Canterbury Road,Surrey Hills,Victoria,-37.82508,145.087673
3844,An establishment where a range of fuel products can be purchased by motorists,Coles Express Camberwell,Shell,800-802 Burke Road,Camberwell,Victoria,-37.823887,145.058415
3845,An establishment where a range of fuel products can be purchased by motorists,Laverton North,Shell,2 Little Boundary Road,Laverton North,Victoria,-37.823082,144.824277
3846,An establishment where a range of fuel products can be purchased by motorists,Coles Express Blackburn,Shell,Maroondah Highway and Middleborough Road,Blackburn,Victoria,-37.819205,145.139177
3847,An establishment where a range of fuel products can be purchased by motorists,Coles Express Nunawading,Shell,340 Whitehorse Road,Nunawading,Victoria,-37.818906,145.175475
3848,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kew,Shell,1107-1113 Burke Road,Kew,Victoria,-37.817012,145.059083
3849,An establishment where a range of fuel products can be purchased by motorists,Coles Express East Melbourne,Shell,1181 Hoddle Street,East Melbourne,Victoria,-37.813073,144.990526
3850,An establishment where a range of fuel products can be purchased by motorists,Coles Express Balwyn,Shell,449 Whitehorse Road,Balwyn,Victoria,-37.812954,145.085996
3851,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ringwood,Shell,9 Mount Dandenong Road,Ringwood East,Victoria,-37.810869,145.239389
3852,An establishment where a range of fuel products can be purchased by motorists,Coles Express Cotham Road,Shell,245 Cotham Road,Kew,Victoria,-37.808938,145.051446
3853,An establishment where a range of fuel products can be purchased by motorists,Kmart Tyre & Auto Blackburn,Shell,Springfield Road and Middleborough Road,Blackburn,Victoria,-37.808873,145.14096
3854,An establishment where a range of fuel products can be purchased by motorists,Coles Express Croydon,Shell,168 Mount Dandenong Road,Croydon,Victoria,-37.799739,145.278633
3855,An establishment where a range of fuel products can be purchased by motorists,Coles Express Abbotsford,Shell,266 Hoddle Street,Abbotsford,Victoria,-37.798232,144.99368
3856,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ringwood East,Shell,521 Maroondah Highway,Ringwood,Victoria,-37.797872,145.253364
3857,An establishment where a range of fuel products can be purchased by motorists,Coles Express Carlton,Shell,406 Lygon Street,Carlton,Victoria,-37.797449,144.96781
3858,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ardeer,Shell,1 The Avenue,Sunshine West,Victoria,-37.796034,144.790355
3859,An establishment where a range of fuel products can be purchased by motorists,Coles Express Collingwood,Shell,11 Alexandra Parade,Collingwood,Victoria,-37.794411,144.986323
3860,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fitzroy,Shell,75 Alexandra Parade,Fitzroy North,Victoria,-37.792865,144.978735
3861,An establishment where a range of fuel products can be purchased by motorists,Coles Express Flemington,Shell,291-309 Smithfield Road,Kensington,Victoria,-37.792148,144.918735
3862,An establishment where a range of fuel products can be purchased by motorists,Coles Express Doncaster,Shell,551 Doncaster Road,Doncaster,Victoria,-37.787844,145.119615
3863,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fairfield,Shell,377 Heidelberg Road,Fairfield,Victoria,-37.783359,145.015669
3864,An establishment where a range of fuel products can be purchased by motorists,Coles Express Sunshine,Shell,392-394 Ballarat Road,Sunshine North,Victoria,-37.778314,144.843743
3865,An establishment where a range of fuel products can be purchased by motorists,Pace Motors Seville,Shell,567 Warburton Highway,Seville,Victoria,-37.777482,145.459017
3866,An establishment where a range of fuel products can be purchased by motorists,Coles Express Koonung,Shell,187 High Street,Templestowe Lower,Victoria,-37.773992,145.113505
3867,An establishment where a range of fuel products can be purchased by motorists,Coles Express Brunswick,Shell,Lygon Street and Glenlyon Road,Brunswick East,Victoria,-37.772095,144.971364
3868,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bulleen,Shell,Manningham Road and Grant Olsen Avenue,Bulleen,Victoria,-37.766926,145.093067
3869,An establishment where a range of fuel products can be purchased by motorists,Coles Express Doncaster East,Shell,484 Blackburn Road,Doncaster East,Victoria,-37.764049,145.166959
3870,An establishment where a range of fuel products can be purchased by motorists,Coles Express Warrandyte South,Shell,482-484 Ringwood-Warrandyte Road,Warrandyte,Victoria,-37.760244,145.233722
3871,An establishment where a range of fuel products can be purchased by motorists,Shell Warburton,Shell,3458 Warburton Highway,Warburton,Victoria,-37.753463,145.69614
3872,An establishment where a range of fuel products can be purchased by motorists,Coles Express Lilydale,Shell,467-469 Maroondah Highway,Lilydale,Victoria,-37.753062,145.364812
3873,An establishment where a range of fuel products can be purchased by motorists,Coles Express Templestowe,Shell,87-91 Porter Street,Templestowe,Victoria,-37.752004,145.134469
3874,An establishment where a range of fuel products can be purchased by motorists,Coles Express Preston,Shell,485 Bell Street,Preston,Victoria,-37.744546,144.994013
3875,An establishment where a range of fuel products can be purchased by motorists,Coles Express St Albans,Shell,265-267 Main Road West,St Albans,Victoria,-37.742352,144.779854
3876,An establishment where a range of fuel products can be purchased by motorists,Coles Express Rosanna,Shell,152 Lower Plenty Road,Rosanna,Victoria,-37.742182,145.066955
3877,An establishment where a range of fuel products can be purchased by motorists,Coles Express East Preston,Shell,1-5 Murray Road,Preston,Victoria,-37.741323,145.030362
3878,An establishment where a range of fuel products can be purchased by motorists,Coles Express Essendon,Shell,249 Keilor Road,Essendon,Victoria,-37.739495,144.897475
3879,An establishment where a range of fuel products can be purchased by motorists,Coles Express Coburg,Shell,346 Bell Street,Pascoe Vale South,Victoria,-37.739263,144.949019
3880,An establishment where a range of fuel products can be purchased by motorists,Coles Express Eltham,Shell,660 Main Road,Eltham,Victoria,-37.727068,145.147312
3881,An establishment where a range of fuel products can be purchased by motorists,Coles Express Keilor,Shell,666-668 Old Calder Highway,Keilor,Victoria,-37.720216,144.837259
3882,An establishment where a range of fuel products can be purchased by motorists,Coles Express Macleod,Shell,230 Greensborough Road,Yallambie,Victoria,-37.7198,145.081474
3883,An establishment where a range of fuel products can be purchased by motorists,Coles Express Reservoir,Shell,192-202 Broadway,Reservoir,Victoria,-37.716999,145.012488
3884,An establishment where a range of fuel products can be purchased by motorists,Airport West ,Shell,10 Louis Street,Airport West,Victoria,-37.71457,144.888759
3885,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fawkner,Shell,1182 Sydney Road,Fawkner,Victoria,-37.70879,144.961622
3886,An establishment where a range of fuel products can be purchased by motorists,Coles Express Melton South,Shell,1-9 Station Road,Melton South,Victoria,-37.702695,144.574738
3887,An establishment where a range of fuel products can be purchased by motorists,Coles Express Greensborough,Shell,144-146 Main Street,Greensborough,Victoria,-37.701804,145.107065
3888,An establishment where a range of fuel products can be purchased by motorists,Coles Express Taylors Lakes,Shell,410 Melton Highway,Taylors Lakes,Victoria,-37.696908,144.782166
3889,An establishment where a range of fuel products can be purchased by motorists,Coles Express Jacana,Shell,945-957 Pascoe Vale Road,Broadmeadows,Victoria,-37.692775,144.915011
3890,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bundoora,Shell,127-132 Plenty Road,Bundoora,Victoria,-37.692016,145.06228
3891,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tullamarine,Shell,175-183 Mickleham Road,Westmeadows,Victoria,-37.687637,144.881781
3892,An establishment where a range of fuel products can be purchased by motorists,Coles Express Gladstone Park,Shell,210 Mickleham Road,Gladstone Park,Victoria,-37.686792,144.883015
3893,An establishment where a range of fuel products can be purchased by motorists,Coles Express Dalton Road,Shell,27 Spencer Street,Thomastown,Victoria,-37.684945,145.028554
3894,An establishment where a range of fuel products can be purchased by motorists,Coles Express Thoroughbred,Shell,414-416 High Street,Melton,Victoria,-37.683124,144.57764
3895,An establishment where a range of fuel products can be purchased by motorists,Coles Express Thomastown,Shell,240 High Street,Thomastown,Victoria,-37.678885,145.014274
3896,An establishment where a range of fuel products can be purchased by motorists,Raymonds ,Shell,36 Fawkner Street,Westmeadows,Victoria,-37.677005,144.887255
3897,An establishment where a range of fuel products can be purchased by motorists,Diamond Creek ,Shell,52 Chute Street,Diamond Creek,Victoria,-37.673423,145.151818
3898,An establishment where a range of fuel products can be purchased by motorists,Coles Express Epping,Caltex,511 High Street,Epping,Victoria,-37.65921,145.018829
3899,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mill Park,Shell,398 Plenty Road,Mill Park,Victoria,-37.658894,145.076289
3900,An establishment where a range of fuel products can be purchased by motorists,Coles Express Healesville,Shell,123 Maroondah Highway,Healesville,Victoria,-37.657064,145.510491
3901,An establishment where a range of fuel products can be purchased by motorists,Epping North,7-Eleven Pty Ltd,705 High Steet,Epping,Victoria,-37.6514071,145.0236211
3902,An establishment where a range of fuel products can be purchased by motorists,Coles Express South Morang,Shell,350 McDonalds Road,South Morang,Victoria,-37.649648,145.07585
3903,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mernda,Shell,1444 Plenty Road,Mernda,Victoria,-37.600126,145.096596
3904,An establishment where a range of fuel products can be purchased by motorists,Coles Express Craigieburn,Shell,42 Craigieburn Road,Craigieburn,Victoria,-37.598295,144.938394
3905,An establishment where a range of fuel products can be purchased by motorists,Coles Express Sunbury,Shell,1-5 Horne Street,Sunbury,Victoria,-37.576328,144.729098
3906,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bunker Hill,Shell,15 Donnybrook Road,Mickleham,Victoria,-37.540615,144.944824
3907,An establishment where a range of fuel products can be purchased by motorists,Kinglake,Shell,3 Whittlesea Kinglake Road,Kinglake,Victoria,-37.532308,145.34013
3908,An establishment where a range of fuel products can be purchased by motorists,Lancefield Motors,Shell,74 Main Road,Lancefield,Victoria,-37.277229,144.73728
3909,An establishment where a range of fuel products can be purchased by motorists,Coles Express Deborah Reef,Shell,198 High Street,Bendigo,Victoria,-36.765646,144.267603
3910,An establishment where a range of fuel products can be purchased by motorists,Coles Express Woolpak,Shell,McIvor Road and Kennedy Street,Bendigo,Victoria,-36.756937,144.292162
3911,An establishment where a range of fuel products can be purchased by motorists,Shell Byrneside,Shell,5389 Midland Highway,Byrneside,Victoria,-36.42041,145.174493
3912,An establishment where a range of fuel products can be purchased by motorists,Coles Express Shepparton,Shell,543 Goulburn Valley Highway,Shepparton,Victoria,-36.391186,145.396789
3913,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mooroopna,Shell,109 Echuca Road,Mooroopna,Victoria,-36.384142,145.353675
3914,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tuggeranong,Shell,149 Soward Way,Greenway,Australian Capital Territory,-35.418436,149.069132
3915,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wanniassa,Shell,49-51 Rylah Crescent,Wanniassa,Australian Capital Territory,-35.390248,149.08532
3916,An establishment where a range of fuel products can be purchased by motorists,Bill Lilley Mitsubishi,Shell,169 Crawford Street,Queanbeyan,New South Wales,-35.351378,149.232574
3917,An establishment where a range of fuel products can be purchased by motorists,Coles Express Phillip,Shell,172 Melrose Drive,Phillip,Australian Capital Territory,-35.349958,149.084896
3918,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fyshwick Wiluna,Shell,2 Wiluna Street,Fyshwick,Australian Capital Territory,-35.3286878,149.1636244
3919,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fyshwick Capital,Shell,98-106 Newcastle Street,Fyshwick,Australian Capital Territory,-35.32791,149.177843
3920,An establishment where a range of fuel products can be purchased by motorists,Coles Express Curtin,Shell,17 Strangways Street,Curtin,Australian Capital Territory,-35.324839,149.081457
3921,An establishment where a range of fuel products can be purchased by motorists,Coles Express Manuka,Shell,11 Franklin Street,Griffith,Australian Capital Territory,-35.320023,149.134182
3922,An establishment where a range of fuel products can be purchased by motorists,Coles Express Deakin,Shell,29 Hopetoun Circuit,Deakin,Australian Capital Territory,-35.314043,149.107768
3923,An establishment where a range of fuel products can be purchased by motorists,Coles Express Braddon,Shell,54 Mort Street,Braddon,Australian Capital Territory,-35.270769,149.132056
3924,An establishment where a range of fuel products can be purchased by motorists,Coles Express Dickson,Shell,71-81 Badham Street,Dickson,Australian Capital Territory,-35.249051,149.137332
3925,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hawker,Shell,20 Springvale Drive,Hawker,Australian Capital Territory,-35.244273,149.044373
3926,An establishment where a range of fuel products can be purchased by motorists,Coles Express Belconnen,Shell,19 Lathlain Street,Belconnen,Australian Capital Territory,-35.242627,149.064012
3927,An establishment where a range of fuel products can be purchased by motorists,Coles Express Belconnen Town Centre,Shell,27 Cohen Street,Belconnen,Australian Capital Territory,-35.239568,149.06128
3928,An establishment where a range of fuel products can be purchased by motorists,Coles Express McLaren Vale,Shell,207 Main Road,McLaren Vale,South Australia,-35.213688,138.535143
3929,An establishment where a range of fuel products can be purchased by motorists,Coles Express Charnwood,Shell,1 Charnwood Place,Charnwood,Australian Capital Territory,-35.205594,149.033374
3930,An establishment where a range of fuel products can be purchased by motorists,Coles Express Gungahlin,Shell,1 Ginn Street,Gungahlin,Australian Capital Territory,-35.183612,149.126377
3931,An establishment where a range of fuel products can be purchased by motorists,Coles Express Noarlunga,Shell,Beach Road and Hannah Road,Noarlunga Centre,South Australia,-35.138445,138.497519
3932,An establishment where a range of fuel products can be purchased by motorists,Coles Express Reynella,Shell,87-91 Main South Road,Reynella,South Australia,-35.099413,138.532223
3933,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hallett Cove,Shell,2 Ramrod Avenue,Hallett Cove,South Australia,-35.077544,138.51803
3934,An establishment where a range of fuel products can be purchased by motorists,Coles Express Darlington,Shell,1483 Main South Road,Darlington,South Australia,-35.024567,138.562059
3935,An establishment where a range of fuel products can be purchased by motorists,Coles Express Blackwood,Shell,371 Shepherds Hill Road,Blackwood,South Australia,-35.021002,138.615468
3936,An establishment where a range of fuel products can be purchased by motorists,Coles Express Stirling,Shell,65 Mount Barker Road,Stirling,South Australia,-35.006158,138.718336
3937,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hawthorn,Shell,150 Belair Road,Hawthorn,South Australia,-34.972482,138.60882
3938,An establishment where a range of fuel products can be purchased by motorists,Coles Express Rose Park,Shell,149 Fullarton Road,Rose Park,South Australia,-34.930776,138.624193
3939,An establishment where a range of fuel products can be purchased by motorists,Coles Express West Terrace,Shell,111 West Terrace,Adelaide,South Australia,-34.929765,138.588345
3940,An establishment where a range of fuel products can be purchased by motorists,Coles Express Norwood,Shell,208 Magill Road,Norwood,South Australia,-34.915166,138.640112
3941,An establishment where a range of fuel products can be purchased by motorists,Coles Express Thebarton,Shell,53-57 Port Road,Thebarton,South Australia,-34.915055,138.577612
3942,An establishment where a range of fuel products can be purchased by motorists,Coles Express Findon,Shell,245 Findon Road,Findon,South Australia,-34.905073,138.532965
3943,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hectorville,Shell,150 Montacute Road,Hectorville,South Australia,-34.888976,138.673835
3944,An establishment where a range of fuel products can be purchased by motorists,Coles Express Klemzig,Shell,46 O G Road,Klemzig,South Australia,-34.87876,138.635374
3945,An establishment where a range of fuel products can be purchased by motorists,Coles Express West Lakes,Shell,111 West Lakes Boulevard,West Lakes,South Australia,-34.877143,138.492751
3946,An establishment where a range of fuel products can be purchased by motorists,Coles Express Nowra,Shell,51A-55 Kinghorne Street,Nowra,New South Wales,-34.876344,150.602354
3947,An establishment where a range of fuel products can be purchased by motorists,Coles Express Queenstown,Shell,79-83 Port Road,Queenstown,South Australia,-34.86379,138.51467
3948,An establishment where a range of fuel products can be purchased by motorists,Coles Express Windsor Gardens,Shell,515 North East Road,Gilles Plains,South Australia,-34.857801,138.655237
3949,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mansfield Park,Shell,446-450 Grand Junction Road,Mansfield Park,South Australia,-34.850509,138.554671
3950,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hope Valley,Shell,1230 Grand Junction Road,Hope Valley,South Australia,-34.843551,138.701084
3951,An establishment where a range of fuel products can be purchased by motorists,Shell Gillman Truck Port,Shell,202-212 Eastern Parade,Gillman,South Australia,-34.837173,138.520335
3952,An establishment where a range of fuel products can be purchased by motorists,Coles Express Valley View Wright Road,Shell,267 Wright Road,Valley View,South Australia,-34.835644,138.653305
3953,An establishment where a range of fuel products can be purchased by motorists,Coles Express Modbury North,Shell,432 Montague Road,Modbury North,South Australia,-34.828754,138.671849
3954,An establishment where a range of fuel products can be purchased by motorists,Coles Express Largs Bay,Shell,207-211 Victoria Road,Largs Bay,South Australia,-34.82554,138.499703
3955,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fairview Park,Shell,323 Hancock Road,Fairview Park,South Australia,-34.803223,138.717782
3956,An establishment where a range of fuel products can be purchased by motorists,Coles Express Salisbury East,Shell,1461 Main North Road,Salisbury East,South Australia,-34.791775,138.647718
3957,An establishment where a range of fuel products can be purchased by motorists,Coles Express Golden Grove,Shell,Lot 203 The Grove Way,Golden Grove,South Australia,-34.789387,138.697648
3958,An establishment where a range of fuel products can be purchased by motorists,Coles Express Parafield Gardens,Shell,443 Salisbury Highway,Parafield Gardens,South Australia,-34.788149,138.617898
3959,An establishment where a range of fuel products can be purchased by motorists,Berry ,Shell,75-79 Queen Street,Berry,New South Wales,-34.774964,150.695088
3960,An establishment where a range of fuel products can be purchased by motorists,Coles Express Elizabeth City,Shell,Elizabeth Way and Yorktown Road,Elizabeth,South Australia,-34.720882,138.668287
3961,An establishment where a range of fuel products can be purchased by motorists,Coles Express Elizabeth Park,Shell,110 Yorktown Road,Elizabeth Park,South Australia,-34.709409,138.684813
3962,An establishment where a range of fuel products can be purchased by motorists,Coles Express Gawler,Shell,12 Murray Street,Gawler,South Australia,-34.603259,138.749031
3963,An establishment where a range of fuel products can be purchased by motorists,Coles Express Albion Park,Shell,252 Princes Highway,Albion Park Rail,New South Wales,-34.567905,150.802266
3964,An establishment where a range of fuel products can be purchased by motorists,Coles Express Oak Flats,Shell,148 Lake Entrance Road,Oak Flats,New South Wales,-34.563132,150.831385
3965,An establishment where a range of fuel products can be purchased by motorists,Coles Express Dapto,Shell,152-158 Princes Highway,Dapto,New South Wales,-34.49617,150.792324
3966,An establishment where a range of fuel products can be purchased by motorists,Coles Express Warrawong,Shell,26 King Street,Warrawong,New South Wales,-34.482752,150.886937
3967,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wollongong,Shell,142 Corrimal Street,Wollongong,New South Wales,-34.428735,150.898917
3968,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wollongong West,Shell,436 Crown Street,West Wollongong,New South Wales,-34.425091,150.873541
3969,An establishment where a range of fuel products can be purchased by motorists,Golden Grill,Shell,40-42 Moorundie Street,Truro,South Australia,-34.408682,139.127453
3970,An establishment where a range of fuel products can be purchased by motorists,Coles Express Corrimal,Shell,267-269 Princes Highway,Corrimal,New South Wales,-34.374457,150.896321
3971,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bulli,Shell,281-285 Princes Highway,Bulli,New South Wales,-34.336548,150.912232
3972,An establishment where a range of fuel products can be purchased by motorists,Bargo ,Shell,2897 Remembrance Driveway,Bargo,New South Wales,-34.255017,150.573906
3973,An establishment where a range of fuel products can be purchased by motorists,Wilton Petroleum,Shell,1109A Argyle Street,Wilton,New South Wales,-34.240477,150.699117
3974,An establishment where a range of fuel products can be purchased by motorists,Helensburgh ,Shell,149 Parkes Street,Helensburgh,New South Wales,-34.192347,150.977678
3975,An establishment where a range of fuel products can be purchased by motorists,Coles Express Port Wakefield,Shell,Catherine Street and Port Wakefield-Balaklava Road,Port Wakefield,South Australia,-34.183211,138.15401
3976,An establishment where a range of fuel products can be purchased by motorists,Coles Express Picton,Shell,93-97 Argyle Street,Picton,New South Wales,-34.168438,150.611473
3977,An establishment where a range of fuel products can be purchased by motorists,Coles Express St Helens Park,Shell,Lot 201 Appin Road,St Helens Park,New South Wales,-34.11195,150.798658
3978,An establishment where a range of fuel products can be purchased by motorists,Coles Express Heathcote,Shell,1355-1383 Princes Highway,Heathcote,New South Wales,-34.087802,151.006997
3979,An establishment where a range of fuel products can be purchased by motorists,Coles Express Camden,Shell,273 Old Hume Highway,Camden South,New South Wales,-34.086458,150.694613
3980,An establishment where a range of fuel products can be purchased by motorists,Bundeena ,Shell,27 Thompson Street,Bundeena,New South Wales,-34.083841,151.14531
3981,An establishment where a range of fuel products can be purchased by motorists,Coles Express Campbelltown,Shell,31 Queen Street,Campbelltown,New South Wales,-34.060546,150.819379
3982,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mount Annan,Shell,241 Waterworth Drive,Mount Annan,New South Wales,-34.049424,150.760161
3983,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kirrawee,Shell,470 Princes Highway,Gymea,New South Wales,-34.027355,151.084505
3984,An establishment where a range of fuel products can be purchased by motorists,Coles Express Taren Point,Shell,99 Parraweena Road,Miranda,New South Wales,-34.026299,151.12009
3985,An establishment where a range of fuel products can be purchased by motorists,Coles Express Minto,Shell,73-75 Pembroke Road,Minto,New South Wales,-34.023169,150.85031
3986,An establishment where a range of fuel products can be purchased by motorists,Coles Express Captain Cook Bridge,Shell,102 Taren Point Road,Taren Point,New South Wales,-34.020137,151.122147
3987,An establishment where a range of fuel products can be purchased by motorists,Coles Express Oyster Bay,Shell,20 Carvers Road,Oyster Bay,New South Wales,-34.009296,151.075822
3988,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ramsgate,Shell,274-276 The Grand Parade,Ramsgate Beach,New South Wales,-33.98538,151.147126
3989,An establishment where a range of fuel products can be purchased by motorists,Coles Express South Hurstville,Shell,831-837 King Georges Road,South Hurstville,New South Wales,-33.978665,151.105485
3990,An establishment where a range of fuel products can be purchased by motorists,Coles Express Carlton,Shell,277-283 Princes Highway,Carlton,New South Wales,-33.974904,151.127243
3991,An establishment where a range of fuel products can be purchased by motorists,Coles Express Leppington,Shell,1443-1449 Camden Valley Way,Leppington,New South Wales,-33.966149,150.81545
3992,An establishment where a range of fuel products can be purchased by motorists,Coles Express Hurstville,Shell,396 Forest Road,Hurstville,New South Wales,-33.964839,151.099057
3993,An establishment where a range of fuel products can be purchased by motorists,Coles Express Brighton-Le-Sands,Shell,2-6 General Holmes Drive,Brighton-le-sands,New South Wales,-33.95784,151.157544
3994,An establishment where a range of fuel products can be purchased by motorists,Coles Express Maroubra,Shell,959-961 Anzac Parade,Maroubra,New South Wales,-33.949942,151.240757
3995,An establishment where a range of fuel products can be purchased by motorists,Coles Express Padstow,Shell,19 Davies Road,Padstow,New South Wales,-33.948473,151.037751
