OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
85,An establishment where a range of fuel products can be purchased by motorists,Gunning Motors,Shell,54-58 Yass Street,Gunning,New South Wales,-34.781483,149.268317
86,An establishment where a range of fuel products can be purchased by motorists,Coles Express Murray Bridge,Shell,57 Adelaide Road,Murray Bridge,South Australia,-35.121799,139.268724
87,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kerang,Shell,92 Wellington Street,Kerang,Victoria,-35.735377,143.917782
88,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tocumwal,Shell,25 Dean Street,Tocumwal,New South Wales,-35.808112,145.560139
89,An establishment where a range of fuel products can be purchased by motorists,Cohuna Shell ,Shell,6323 Murray Valley Highway,Cohuna,Victoria,-35.819797,144.233252
90,An establishment where a range of fuel products can be purchased by motorists,Strathmerton Roadhouse,Independent Fuel Supplies,4972 Murray Valley Highway,Strathmerton,Victoria,-35.925049,145.50007
91,An establishment where a range of fuel products can be purchased by motorists,Howlong Trading Post,Shell,142-160 Hawkins Street,Howlong,New South Wales,-35.981661,146.639073
92,An establishment where a range of fuel products can be purchased by motorists,Corowa ,Shell,223 Sanger Street,Corowa,New South Wales,-35.995241,146.391551
93,An establishment where a range of fuel products can be purchased by motorists,Coles Express Albury North,Shell,575 Wagga Road,Lavington,New South Wales,-36.036715,146.963414
94,An establishment where a range of fuel products can be purchased by motorists,Coles Express Albury,Shell,465 Guinea Street,Albury,New South Wales,-36.075126,146.921293
95,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wodonga,Shell,81-83 Elgin Boulevard,Wodonga,Victoria,-36.119733,146.879643
96,An establishment where a range of fuel products can be purchased by motorists,Coles Express Echuca,Shell,235 Ogilvie Avenue,Echuca,Victoria,-36.140764,144.748856
97,An establishment where a range of fuel products can be purchased by motorists,Shell Kyabram,Shell,275-285 Allan Street,Kyabram,Victoria,-36.313256,145.050578
98,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wangaratta,Shell,5 Parfitt Road,Wangaratta,Victoria,-36.352117,146.331491
99,An establishment where a range of fuel products can be purchased by motorists,Murray Goulburn Rochester,Shell,18 Moore Street,Rochester,Victoria,-36.363399,144.698012
100,An establishment where a range of fuel products can be purchased by motorists,Coles Express Benalla,Shell,Cnr Bridge Street and Margaret Street,Benalla,Victoria,-36.556443,145.970777
101,An establishment where a range of fuel products can be purchased by motorists,Coles Express Horsham,Shell,170-174 Baillie Street,Horsham,Victoria,-36.711366,142.198875
102,An establishment where a range of fuel products can be purchased by motorists,Coles Express Euroa,Shell,167 Tarcombe Street,Euroa,Victoria,-36.742908,145.591496
103,An establishment where a range of fuel products can be purchased by motorists,Rangeway ,Shell,90-92 High Street,Heathcote,Victoria,-36.925443,144.711517
104,An establishment where a range of fuel products can be purchased by motorists,Shell Seymour,Shell,37-39 Emily Street,Seymour,Victoria,-37.02037,145.127793
105,An establishment where a range of fuel products can be purchased by motorists,Coles Express Maryborough,Shell,53-55 High Street,Maryborough,Victoria,-37.048329,143.734877
106,An establishment where a range of fuel products can be purchased by motorists,Top End Servo,Shell,312 Barker Street,Castlemaine,Victoria,-37.055284,144.218908
107,An establishment where a range of fuel products can be purchased by motorists,East End Servo,Shell,Pyrenees Highway and Eureka Street,Chewton,Victoria,-37.077983,144.247838
108,An establishment where a range of fuel products can be purchased by motorists,Yea ,Shell,98-100 High Street,Yea,Victoria,-37.211736,145.421975
109,An establishment where a range of fuel products can be purchased by motorists,Kuppers ,Shell,199 Burton Avenue,Kyneton,Victoria,-37.237636,144.41984
110,An establishment where a range of fuel products can be purchased by motorists,Coles Express Daylesford,Shell,47 Raglan Street,Daylesford,Victoria,-37.339649,144.146735
111,An establishment where a range of fuel products can be purchased by motorists,Coles Express Creswick,Shell,18 Clunes Road,Creswick,Victoria,-37.417439,143.893701
112,An establishment where a range of fuel products can be purchased by motorists,Shell Mallacoota,Shell,89 Betka Road,Mallacoota,Victoria,-37.559141,149.755712
113,An establishment where a range of fuel products can be purchased by motorists,Newmerella Self Serve,Shell,5327 Princes Highway,Newmerella,Victoria,-37.735091,148.431644
114,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bairnsdale,Shell,251 Main Street,Bairnsdale,Victoria,-37.827393,147.626648
115,An establishment where a range of fuel products can be purchased by motorists,North Arm Auto & Marine,Shell,66 Marine Parade,Lakes Entrance,Victoria,-37.880957,147.97716
116,An establishment where a range of fuel products can be purchased by motorists,Urquhart Motors,Shell,9 Main Street,Derrinallum,Victoria,-37.948447,143.224052
117,An establishment where a range of fuel products can be purchased by motorists,Murray Goulburn Maffra,Independent Fuel Supplies,8 Foster Street,Maffra,Victoria,-37.97125,146.97808
118,An establishment where a range of fuel products can be purchased by motorists,Coles Express Sale,Shell,215 York Street,Sale,Victoria,-38.104846,147.067706
119,An establishment where a range of fuel products can be purchased by motorists,Superstock Auto,Independent Fuel Supplies,94 Moore Street,Moe,Victoria,-38.16604,146.262472
120,An establishment where a range of fuel products can be purchased by motorists,Coles Express Traralgon,Shell,115 Princes Street,Traralgon,Victoria,-38.199372,146.5344
121,An establishment where a range of fuel products can be purchased by motorists,Coles Express Trafalgar,Shell,53 Princes Highway,Trafalgar,Victoria,-38.208275,146.153017
122,An establishment where a range of fuel products can be purchased by motorists,Euroka ,Independent Fuel Supplies,134 George Street,Morwell,Victoria,-38.239105,146.399595
123,An establishment where a range of fuel products can be purchased by motorists,Yinnar Motors,Shell,50-52 Main Street,Yinnar,Victoria,-38.322821,146.327698
124,An establishment where a range of fuel products can be purchased by motorists,Coles Express Colac,Shell,2 Princes Highway,Colac East,Victoria,-38.335298,143.610476
125,An establishment where a range of fuel products can be purchased by motorists,Coles Express Anglesea,Shell,107 Great Ocean Road,Anglesea,Victoria,-38.408573,144.186151
126,An establishment where a range of fuel products can be purchased by motorists,Timboon Fuels,Shell,109 Bailey Street,Timboon,Victoria,-38.482851,142.966563
127,An establishment where a range of fuel products can be purchased by motorists,Woodside ,Shell,66 High Street,Woodside,Victoria,-38.524327,146.874587
